timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,moving,characteristic_num
1624715059.057456,-9,-31,7,39,5,-7,-10,-11,,3
1624715059.060029,4,-7,30,48,4,0,-4,1,,0
1624715059.060029,11,1,82,-13,36,32,-5,7,,0
1624715059.072119,-6,-13,-57,-17,-13,-14,-4,-4,,1
1624715059.072119,-10,-4,0,-28,-17,9,-2,-7,,1
1624715059.0747468,4,0,-67,39,34,-2,-19,1,,2
1624715059.0747468,-6,-47,-4,-32,-12,16,6,-6,,2
1624715059.0858712,1,-1,19,20,-14,-24,-1,0,,3
1624715059.0858712,1,-2,20,42,25,-6,1,-3,,3
1624715059.102922,-4,-11,16,-10,10,0,18,4,,0
1624715059.102922,3,64,21,-9,-2,47,-5,4,,0
